id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1637744,Park Hill Denver: Shady Retreat,8697449,Jennifer,,South Park Hill,39.74446,-104.91113,Private room,60,31,37,2019-12-15,0.53,1,302
1641476,Charming 1890's Victorian Cottage by Sloan's Lake,8714815,Allison,,Sloan Lake,39.75459,-105.04991,Entire home/apt,219,3,32,2020-10-24,0.75,1,63
1737365,Stylish & Historic LoHi Loft on Wyandot,3378084,Alexandra,,Highland,39.75901,-105.01541,Entire home/apt,120,29,67,2020-08-21,0.76,2,223
1785877,Cozy and Convenient in Capitol Hill,6674631,Cynthia,,Cheesman Park,39.7388,-104.96965,Private room,56,29,165,2021-01-31,1.83,3,335
1792152,Peaceful Retreat in Congress Park,9402581,Rita,,Congress Park,39.73377,-104.94866,Private room,78,29,249,2021-02-28,2.88,2,339
1801950,Best Location HUGE 1 bedroom loft,9447036,,,CBD,39.74569,-104.99202,Entire home/apt,253,2,235,2021-03-08,2.99,2,166
1900638,MasterBdrm&PrivateBath*LadiesOnly*WalkDU&PorterHos,9869829,Barbara,,University,39.66641,-104.96587,Private room,39,10,86,2020-02-01,0.98,3,0
1901266,PrivateBdrmShareBath*LadiesOnly*Walk DU&PorterHos,9869829,Barbara,,University,39.66641,-104.96614,Private room,25,10,88,2020-09-30,1.03,3,147
1905596,"Charming, cozy, private hideaway",5811115,Annette,,Berkeley,39.77954,-105.03991,Entire home/apt,110,30,68,2020-06-02,0.77,4,242
1915301,Modern LoHi Townhome | Panoramic Rooftop Views,9933778,Kelvin,,Highland,39.76823,-105.00989,Entire home/apt,355,3,12,2020-10-11,0.71,1,62
1955800,High-Rise Condo in Heart of Denver,10109001,Joey,,CBD,39.74578,-104.99603,Entire home/apt,200,29,15,2018-08-31,0.17,1,178
1959836,Artist Cottage in Denver,10033473,Anne,,Clayton,39.76476,-104.95804,Private room,39,30,297,2019-11-04,3.34,1,0
1959918,Inviting Re-Imagined Row House with Yard,438129,Mike,,Lincoln Park,39.73781,-105.00278,Entire home/apt,125,1,489,2021-03-27,6.29,1,108
1966103,Wash Park/DU • 10 Mins Downtown • Family Friendly,9597571,Jon & Irene,,Platt Park,39.67937,-104.97808,Entire home/apt,150,29,8,2020-07-21,0.14,2,167
2104774,"HOT! Best Location.  Cozy, quiet. CLOROX CLEAN!",4087056,Jeanne,,City Park West,39.74245,-104.9681,Entire home/apt,65,30,46,2021-01-02,0.65,6,290
2119667,Architect Owned Unique Retreat in the Art District,10535707,Nicole,,Lincoln Park,39.73499,-105.00108,Entire home/apt,258,29,410,2021-01-03,4.68,1,315
2139342,Designer Home Away From Home,10917089,Jeffrey,,Hilltop,39.72112,-104.91342,Entire home/apt,92,30,152,2021-01-02,1.74,5,245
2153985,Sleeps 6 - Duplex 2 miles from Downtown Denver,10534574,Jessica,,Sunnyside,39.77049,-105.00101,Entire home/apt,120,1,3,2021-03-14,2.00,1,95
2175370,PrivateBdrmShare Bath*LadiesOnly*Walk DU&PorterHos,9869829,Barbara,,University,39.6683,-104.96552,Private room,25,10,60,2019-11-17,0.70,3,0
2216969,Modern Studio,10917089,Jeffrey,,Hilltop,39.7212,-104.91337,Entire home/apt,60,30,146,2021-03-21,2.21,5,280
2232323,"Cozy Cottage in the Country Club,",11393480,Darrow,,Country Club,39.72367,-104.96557,Entire home/apt,260,7,77,2021-03-19,0.90,1,320
